cashtag,name,link,avgrating,price,mktcap,anrecs,anrecscss,pev,pbv,estpeg,divyld,stockcode
$SMBH,SMIS CORP BHD,/mkt/themarket/stock/SMBH,8.0,0.675,30.24,,,60.88,0.56,-0.06,0.0,SMBH.KL
$SMRS,SMRT HOLDINGS,/mkt/themarket/stock/SMRS,8.0,0.13,58.18,,,10.66,0.54,0.0,0.0,SMRS.KL
$SMTR,SMTRACK BERHAD,/mkt/themarket/stock/SMTR,1.0,0.045,37.99,,,0.0,0.78,-0.0,0.0,SMTR.KL
$SNOW,SNOWFIT GROUP,/mkt/themarket/stock/SNOW,0.0,0.2,42.22,,,0.0,8.12,0.0,0.0,SNOW.KL
$SNSN,SNS NETWORK,/mkt/themarket/stock/SNSN,0.0,0.27,435.45,,,0.0,0.0,0.0,0.0,SNSN.KL
$SOLA,SOLARVEST HOLD,/mkt/themarket/stock/SOLA,4.0,0.75,500.67,OUTPERFORM,ana_lgreen,44.17,2.78,0.01,0.0,SOLA.KL
$SOIL,SOLID AUTOMOTIVE,/mkt/themarket/stock/SOIL,6.0,0.185,96.08,,,14.3,0.51,0.01,1.62,SOIL.KL
$SLEG,SOLUTION GROUP,/mkt/themarket/stock/SLEG,7.0,0.17,75.08,,,1.86,0.64,0.08,11.76,SLEG.KL
$SMIS,SOUTH M'SIA IND,/mkt/themarket/stock/SMIS,6.0,0.18,37.79,,,0.0,0.37,-0.01,0.0,SMIS.KL
$SOUS,SOUTHERN ACIDS,/mkt/themarket/stock/SOUS,10.0,3.7,506.66,HOLD,ana_yellow,5.91,0.7,0.69,1.35,SOUS.KL
$SOUT,SOUTHERN CABLE,/mkt/themarket/stock/SOUT,6.0,0.335,268.0,,,26.8,1.02,0.01,0.6,SOUT.KL
$STEE,SOUTHERN STEEL,/mkt/themarket/stock/STEE,4.0,0.655,390.59,,,0.0,0.59,-0.16,0.0,STEE.KL
$SETI,SP SETIA BHD,/mkt/themarket/stock/SETI,3.0,0.705,2873.22,HOLD,ana_yellow,10.32,0.21,0.07,0.91,SETI.KL
$SPOR,SPORTS TOTO,/mkt/themarket/stock/SPOR,6.0,1.86,2512.92,OUTPERFORM,ana_lgreen,15.52,2.82,0.12,3.74,SPOR.KL
$SPRN,SPRING ART HLD,/mkt/themarket/stock/SPRN,3.0,0.2,83.14,,,14.19,1.1,0.01,0.0,SPRN.KL
$SPTZ,SPRITZER BHD,/mkt/themarket/stock/SPTZ,9.0,2.0,419.99,BUY,ana_green,15.24,0.91,0.11,2.25,SPTZ.KL
$STAR,STAR MEDIA,/mkt/themarket/stock/STAR,3.0,0.305,225.26,HOLD,ana_yellow,0.0,0.34,-0.18,0.0,STAR.KL
$STEH,STEEL HAWK,/mkt/themarket/stock/STEH,0.0,0.75,120.0,,,26.13,12.3,0.01,0.52,STEH.KL
