cashtag,name,link,avgrating,price,mktcap,anrecs,anrecscss,pev,pbv,estpeg,divyld,stockcode
$SEVE,7-ELEVEN M'SIA,/mkt/themarket/stock/SEVE,8.0,1.56,1924.08,OUTPERFORM,ana_lgreen,21.51,21.38,0.04,1.67,SEVE.KL
$ARNK,A-RANK BHD,/mkt/themarket/stock/ARNK,8.0,0.53,94.32,,,7.0,0.64,0.06,4.25,ARNK.KL
$ABFM,ABF Malaysia Bond Index Fund,/mkt/themarket/etf/ABFM,0.0,1.172,1644.22,,,0.0,0.0,0.0,0.0,ABFM.KL
$ABLE,ABLE GLOBAL,/mkt/themarket/stock/ABLE,8.0,1.38,428.45,OUTPERFORM,ana_lgreen,12.87,1.12,0.12,3.28,ABLE.KL
$ABEL,ABLEGROUP BHD,/mkt/themarket/stock/ABEL,3.0,0.125,32.99,,,0.0,0.74,-0.0,0.0,ABEL.KL
$ABMF,ABM FUJIYA BHD,/mkt/themarket/stock/ABMF,0.0,0.395,71.1,,,34.56,0.43,0.01,0.0,ABMF.KL
$ACEI,ACE INNOVATE,/mkt/themarket/stock/ACEI,0.0,0.35,105.01,,,0.0,4.3,0.0,2.83,ACEI.KL
$ACME,ACME HOLDGS BHD,/mkt/themarket/stock/ACME,3.0,0.185,68.0,,,0.0,0.65,-0.01,0.0,ACME.KL
$ACOG,ACO GROUP BERHAD,/mkt/themarket/stock/ACOG,6.0,0.21,72.95,,,9.96,0.84,0.02,0.0,ACOG.KL
$APTB,ADV. PACK. TECH,/mkt/themarket/stock/APTB,5.0,2.6,53.31,,,0.0,1.89,-0.06,0.0,APTB.KL
$AIMD,ADVANCE INFO MKT,/mkt/themarket/stock/AIMD,1.0,0.09,23.95,,,0.0,1.91,-0.02,0.0,AIMD.KL
$ADVA,ADVANCE SYNERGY,/mkt/themarket/stock/ADVA,3.0,0.095,88.27,,,0.0,0.19,-0.01,1.58,ADVA.KL
$ADVN,ADVANCECON HLD,/mkt/themarket/stock/ADVN,4.0,0.265,130.58,HOLD,ana_yellow,50.77,0.61,0.01,0.0,ADVN.KL
$ADVE,ADVENTA BHD,/mkt/themarket/stock/ADVE,3.0,0.515,78.69,HOLD,ana_yellow,10.86,1.16,0.09,0.0,ADVE.KL
$AEMU,AE MULTI HLDGS,/mkt/themarket/stock/AEMU,3.0,0.02,43.27,,,0.0,0.44,-0.04,0.0,AEMU.KL
$AEML,AEMULUS HOLDINGS,/mkt/themarket/stock/AEML,1.0,0.455,303.86,OUTPERFORM,ana_lgreen,19.21,2.7,0.02,0.0,AEML.KL
$AEOM,AEON CO. (M) BHD,/mkt/themarket/stock/AEOM,9.0,1.47,2063.88,OUTPERFORM,ana_lgreen,15.94,1.17,0.06,2.07,AEOM.KL
$ANCR,AEON CREDIT,/mkt/themarket/stock/ANCR,9.0,14.0,3574.31,OUTPERFORM,ana_lgreen,10.05,1.62,1.39,3.11,ANCR.KL
$AFIN,AFFIN BANK,/mkt/themarket/stock/AFIN,7.0,2.11,4668.02,OUTPERFORM,ana_lgreen,7.11,0.47,0.25,5.92,AFIN.KL
$AGES,AGESON BERHAD,/mkt/themarket/stock/AGES,6.0,0.395,123.11,,,1.12,0.4,0.32,0.0,AGES.KL
$AGMO,AGMO HOLDINGS,/mkt/themarket/stock/AGMO,0.0,0.93,302.25,,,0.0,26.09,0.02,0.0,AGMO.KL
$ARTW,AHB HOLDINGS,/mkt/themarket/stock/ARTW,1.0,0.12,45.1,,,0.0,1.69,-0.02,0.0,ARTW.KL
$AZRB,AHMAD ZAKI RESOU,/mkt/themarket/stock/AZRB,3.0,0.17,101.65,,,0.0,0.34,-0.12,0.0,AZRB.KL
$AIMF,AIMFLEX BHD,/mkt/themarket/stock/AIMF,7.0,0.12,176.27,,,13.53,2.36,0.0,0.0,AIMF.KL
$AIRX,AIRASIA X BHD,/mkt/themarket/stock/AIRX,5.0,0.465,192.89,OUTPERFORM,ana_lgreen,0.01,2.71,-0.16,0.0,AIRX.KL
$AJIN,AJINOMOTO MSIA,/mkt/themarket/stock/AJIN,2.0,11.78,716.21,HOLD,ana_yellow,770.82,1.43,0.28,0.71,AJIN.KL
$AJIY,AJIYA BHD,/mkt/themarket/stock/AJIY,9.0,1.18,359.41,,,16.12,0.96,0.06,0.0,AJIY.KL
$ALQA,AL-AQAR HEA REIT,/mkt/themarket/reit/ALQA,6.0,1.21,890.54,BUY,ana_green,12.0,0.96,0.1,6.34,ALQA.KL
$ALSA,AL-SALAM REAL,/mkt/themarket/reit/ALSA,4.0,0.45,261.0,SELL,ana_dred,69.4,0.46,0.01,5.92,ALSA.KL
$ALMT,ALAM MARITIM RES,/mkt/themarket/stock/ALMT,5.0,0.03,45.96,BUY,ana_green,0.0,0.19,-0.1,0.0,ALMT.KL
$ALCO,ALCOM GROUP,/mkt/themarket/stock/ALCO,10.0,0.89,119.55,,,2.02,0.76,0.24,2.84,ALCO.KL
$ALDR,ALDRICH RESOURCE,/mkt/themarket/stock/ALDR,3.0,0.025,27.84,,,0.0,1.33,-0.01,0.0,ALDR.KL
$ALLI,ALLIANCE BANK,/mkt/themarket/stock/ALLI,10.0,3.63,5619.63,OUTPERFORM,ana_lgreen,8.97,0.89,0.37,5.0,ALLI.KL
$AINM,ALLIANZ MALAYSIA,/mkt/themarket/stock/AINM,9.0,13.14,2338.38,OUTPERFORM,ana_lgreen,12.38,0.56,1.38,1.22,AINM.KL
$ALPH,ALPHA OCEAN RESO,/mkt/themarket/stock/ALPH,0.0,2.6,260.0,,,0.0,10.38,0.03,0.54,ALPH.KL
$AMRY,AMANAHRAYA REIT,/mkt/themarket/reit/AMRY,5.0,0.63,361.13,HOLD,ana_yellow,13.68,0.49,0.05,12.94,AMRY.KL
$AMEE,AME ELITE CONS,/mkt/themarket/stock/AMEE,5.0,1.47,941.79,OUTPERFORM,ana_lgreen,20.39,1.37,0.08,1.66,AMEE.KL
$AMFL,AMFIRST REIT,/mkt/themarket/reit/AMFL,4.0,0.375,257.4,,,55.56,0.32,0.01,8.05,AMFL.KL
$AMLE,AMLEX HOLDINGS,/mkt/themarket/stock/AMLE,7.0,0.5,134.06,,,10.88,3.15,0.05,0.8,AMLE.KL
$AMMB,AMMB HLDGS BHD,/mkt/themarket/stock/AMMB,7.0,4.04,13389.31,OUTPERFORM,ana_lgreen,8.67,0.79,0.46,1.24,AMMB.KL
$AMTH,AMTEL HOLDINGS,/mkt/themarket/stock/AMTH,5.0,0.73,71.21,,,28.09,1.0,0.04,0.0,AMTH.KL
$AMWA,AMWAY MALAYSIA,/mkt/themarket/stock/AMWA,8.0,5.03,826.86,OUTPERFORM,ana_lgreen,18.81,3.83,0.22,3.98,AMWA.KL
$ANRE,ANALABS RESOURCE,/mkt/themarket/stock/ANRE,0.0,1.35,162.07,,,4.99,0.5,0.27,1.48,ANRE.KL
$ANCO,ANCOM  LOG BHD,/mkt/themarket/stock/ANCO,2.0,0.125,59.16,,,0.0,2.61,-0.0,0.0,ANCO.KL
$ANCM,ANCOM NYLEX,/mkt/themarket/stock/ANCM,8.0,0.96,884.89,,,12.46,2.2,0.08,0.0,ANCM.KL
$ANEK,ANEKA JARINGAN,/mkt/themarket/stock/ANEK,3.0,0.165,97.67,,,0.0,0.88,-0.04,0.0,ANEK.KL
$ANNJ,ANN JOO RESOURCE,/mkt/themarket/stock/ANNJ,5.0,1.03,595.94,UNDERPERFORM,ana_red,4.16,0.45,0.39,8.74,ANNJ.KL
$ANNU,ANNUM BERHAD,/mkt/themarket/stock/ANNU,6.0,0.355,34.61,,,0.47,0.32,0.77,0.0,ANNU.KL
$ANZO,ANZO HOLDINGS,/mkt/themarket/stock/ANZO,5.0,0.01,11.16,,,0.0,0.09,-0.02,0.0,ANZO.KL
$APBS,APB RESOURCES,/mkt/themarket/stock/APBS,8.0,1.18,133.19,,,0.0,0.84,-0.05,0.0,APBS.KL
$APES,APEX EQ HLD,/mkt/themarket/stock/APES,5.0,1.02,217.84,HOLD,ana_yellow,14.84,0.65,0.11,3.92,APES.KL
$APER,APEX HEALTHCARE,/mkt/themarket/stock/APER,9.0,3.3,1575.86,OUTPERFORM,ana_lgreen,20.83,3.06,0.13,1.85,APER.KL
$APMA,APM AUTOMOTIVE,/mkt/themarket/stock/APMA,6.0,1.82,366.91,HOLD,ana_yellow,0.0,0.28,-0.06,3.85,APMA.KL
$AFHB,APOLLO FOOD,/mkt/themarket/stock/AFHB,4.0,3.66,292.8,HOLD,ana_yellow,29.36,1.29,0.12,4.1,AFHB.KL
$APPA,APPASIA BHD,/mkt/themarket/stock/APPA,6.0,0.075,84.57,,,350.0,3.27,-0.0,0.0,APPA.KL
$ARBB,ARB BERHAD,/mkt/themarket/stock/ARBB,7.0,0.12,145.97,,,1.05,0.79,0.08,0.0,ARBB.KL
$ARKS,ARK RES HOLD,/mkt/themarket/stock/ARKS,0.0,0.3,20.88,,,0.0,1.53,-0.03,0.0,ARKS.KL
$ARTR,ARTRONIQ,/mkt/themarket/stock/ARTR,6.0,0.485,154.15,,,0.0,4.39,0.02,0.0,ARTR.KL
$ASDN,ASDION BHD,/mkt/themarket/stock/ASDN,1.0,0.08,18.03,,,0.0,2.21,-0.02,0.0,ASDN.KL
$ASIA,ASIA BRANDS,/mkt/themarket/stock/ASIA,0.0,0.56,130.28,,,8.05,0.55,0.07,1.85,ASIA.KL
$AFCB,ASIA FILE CORP,/mkt/themarket/stock/AFCB,9.0,1.75,340.86,BUY,ana_green,9.94,0.48,0.22,1.13,AFCB.KL
$ASMG,ASIA MEDIA GRP,/mkt/themarket/stock/ASMG,6.0,0.205,63.82,,,7.55,6.73,0.02,0.0,ASMG.KL
$ASPY,ASIA POLY HLDGS,/mkt/themarket/stock/ASPY,1.0,0.11,96.31,,,0.0,0.59,-0.01,0.0,ASPY.KL
$APHB,ASIAN PAC HLDGS,/mkt/themarket/stock/APHB,5.0,0.105,156.33,,,0.0,0.15,-0.0,0.0,APHB.KL
$ATNO,ASTINO BHD,/mkt/themarket/stock/ATNO,9.0,0.5,246.71,,,4.64,0.53,0.13,2.02,ATNO.KL
$AASB,ASTRAL ASIA BHD,/mkt/themarket/stock/AASB,6.0,0.105,69.3,,,0.0,0.39,-0.01,0.0,AASB.KL
$ASTA,ASTRAMINA GROUP,/mkt/themarket/stock/ASTA,0.0,0.37,100.7,,,18.51,2.35,0.02,0.0,ASTA.KL
$ASTR,ASTRO MALAYSIA,/mkt/themarket/stock/ASTR,6.0,0.86,4484.48,OUTPERFORM,ana_lgreen,10.61,3.9,0.09,7.94,ASTR.KL
$ATSM,AT SYSTEMATIZATI,/mkt/themarket/stock/ATSM,4.0,0.01,60.01,,,0.0,0.27,-0.03,0.0,ATSM.KL
$ATAI,ATA IMS,/mkt/themarket/stock/ATAI,4.0,0.29,349.27,UNDERPERFORM,ana_red,0.0,0.46,-0.01,11.75,ATAI.KL
$ATLA,ATLAN HOLDINGS,/mkt/themarket/stock/ATLA,0.0,2.95,748.27,HOLD,ana_yellow,1878.98,1.91,-0.0,1.69,ATLA.KL
$ATRL,ATRIUM REIT,/mkt/themarket/reit/ATRL,3.0,1.42,348.68,,,16.89,1.33,0.09,6.69,ATRL.KL
$ATTA,ATTA GLOBAL GRP,/mkt/themarket/stock/ATTA,5.0,0.33,82.9,,,57.76,0.24,0.0,0.0,ATTA.KL
$AURE,AURELIUS TECHNO,/mkt/themarket/stock/AURE,5.0,1.62,580.25,BUY,ana_green,0.0,2.69,0.06,0.0,AURE.KL
$AURO,AURORA ITALIA,/mkt/themarket/stock/AURO,0.0,0.22,137.73,,,0.0,2.61,0.02,0.0,AURO.KL
$AVIL,AVILLION BERHAD,/mkt/themarket/stock/AVIL,5.0,0.09,102.0,,,0.0,0.51,-0.01,0.0,AVIL.KL
$AWAN,AWANBIRU TECHNO,/mkt/themarket/stock/AWAN,2.0,0.385,303.99,OUTPERFORM,ana_lgreen,70.48,1.59,0.01,0.0,AWAN.KL
$AWCF,AWC BERHAD,/mkt/themarket/stock/AWCF,8.0,0.44,141.42,OUTPERFORM,ana_lgreen,6.47,0.64,0.07,3.37,AWCF.KL
$AXIA,AXIATA GROUP BHD,/mkt/themarket/stock/AXIA,5.0,2.92,26796.92,OUTPERFORM,ana_lgreen,85.37,1.5,0.09,3.23,AXIA.KL
$AXSR,AXIS REIT,/mkt/themarket/reit/AXSR,5.0,1.87,3068.77,OUTPERFORM,ana_lgreen,12.78,1.22,0.14,4.82,AXSR.KL
$AXTE,AXTERIA GROUP,/mkt/themarket/stock/AXTE,2.0,0.165,82.28,,,37.41,0.7,-0.0,0.0,AXTE.KL
$AYER,AYER HOLDINGS,/mkt/themarket/stock/AYER,0.0,6.2,464.09,HOLD,ana_yellow,16.52,0.86,0.23,1.61,AYER.KL
$AYSV,AYS VENTURES,/mkt/themarket/stock/AYSV,8.0,0.44,184.12,,,1.87,0.46,0.26,6.69,AYSV.KL
$BIGI,B.I.G INDUST.,/mkt/themarket/stock/BIGI,6.0,0.715,45.39,,,9.86,1.2,0.07,0.0,BIGI.KL
$BABA,BABA ECO GROUP,/mkt/themarket/stock/BABA,0.0,0.44,101.12,,,12.46,1.98,0.06,1.49,BABA.KL
$BAHV,BAHVEST RESOURCE,/mkt/themarket/stock/BAHV,7.0,0.33,409.13,,,80.85,3.33,0.01,0.0,BAHV.KL
$BIMB,BANK ISLAM,/mkt/themarket/stock/BIMB,2.0,2.58,5560.59,OUTPERFORM,ana_lgreen,13.81,0.85,0.22,4.32,BIMB.KL
$BARA,BARAKAH OFFSHORE,/mkt/themarket/stock/BARA,5.0,0.03,30.09,UNDERPERFORM,ana_red,0.13,0.14,0.08,0.0,BARA.KL
$BTKW,BATU KAWAN BHD,/mkt/themarket/stock/BTKW,10.0,22.96,9173.33,HOLD,ana_yellow,7.26,1.46,2.9,4.75,BTKW.KL
$BCBB,BCB BHD,/mkt/themarket/stock/BCBB,8.0,0.225,92.81,,,3.76,0.2,0.04,0.0,BCBB.KL
$BCMA,BCM ALLIANCE,/mkt/themarket/stock/BCMA,3.0,0.02,40.68,,,0.0,0.23,-0.0,0.0,BCMA.KL
$BENL,BENALEC HOLD BHD,/mkt/themarket/stock/BENL,2.0,0.09,92.84,HOLD,ana_yellow,0.0,0.2,-0.04,0.0,BENL.KL
$BERJ,BERJAYA ASSET,/mkt/themarket/stock/BERJ,4.0,0.285,729.07,,,0.0,0.39,-0.02,0.0,BERJ.KL
$BGRO,BERJAYA CORP,/mkt/themarket/stock/BGRO,4.0,0.24,1406.38,,,24.44,0.23,0.01,0.0,BGRO.KL
$BGROa,BERJAYA CORP-A,/mkt/themarket/stock/BGROa,0.0,0.36,104.71,,,0.0,0.0,0.0,0.0,BGROa.KL
$BJFO,BERJAYA FOOD,/mkt/themarket/stock/BJFO,7.0,0.875,1704.18,OUTPERFORM,ana_lgreen,2.65,3.61,0.34,1.22,BJFO.KL
$BLAD,BERJAYA LAND,/mkt/themarket/stock/BLAD,5.0,0.23,1150.08,,,0.0,0.31,-0.05,0.0,BLAD.KL
$BERA,BERMAZ AUTO BHD,/mkt/themarket/stock/BERA,9.0,1.81,2106.78,OUTPERFORM,ana_lgreen,13.44,3.29,0.13,3.49,BERA.KL
$BERM,BERTAM ALLIANCE,/mkt/themarket/stock/BERM,0.0,0.08,19.85,,,0.0,0.17,-0.02,0.0,BERM.KL
$BESH,BESHOM HOLDINGS,/mkt/themarket/stock/BESH,6.0,1.5,450.16,OUTPERFORM,ana_lgreen,15.34,1.4,0.1,0.0,BESH.KL
$BDBS,BINA DARULAMAN,/mkt/themarket/stock/BDBS,6.0,0.33,100.27,,,41.98,0.21,0.02,2.27,BDBS.KL
$BPUR,BINA PURI HLDGS,/mkt/themarket/stock/BPUR,3.0,0.035,55.92,HOLD,ana_yellow,0.0,0.28,-0.07,0.0,BPUR.KL
$BINC,BINASAT COMMUNIC,/mkt/themarket/stock/BINC,3.0,0.24,93.19,,,20.61,1.04,0.01,0.0,BINC.KL
$BKCB,BINTAI KINDEN,/mkt/themarket/stock/BKCB,5.0,0.095,81.05,,,12.77,0.39,0.01,0.0,BKCB.KL
$BPOT,BINTULU PORT,/mkt/themarket/stock/BPOT,7.0,5.05,2323.0,OUTPERFORM,ana_lgreen,6.17,1.39,0.79,2.73,BPOT.KL
$BIOA,BIOALPHA HLDG,/mkt/themarket/stock/BIOA,2.0,0.105,144.7,HOLD,ana_yellow,0.0,0.68,-0.0,0.0,BIOA.KL
$BLDN,BLD PLANTATION,/mkt/themarket/stock/BLDN,0.0,8.8,822.8,,,11.06,1.16,0.83,0.57,BLDN.KL
$BOIL,BOILERMECH,/mkt/themarket/stock/BOIL,2.0,0.705,363.78,OUTPERFORM,ana_lgreen,25.31,1.53,0.03,2.48,BOIL.KL
$BONI,BONIA CORP,/mkt/themarket/stock/BONI,7.0,2.25,453.54,HOLD,ana_yellow,10.05,1.14,0.22,2.67,BONI.KL
$BRNL,BORNEO OIL BHD,/mkt/themarket/stock/BRNL,6.0,0.025,219.65,,,3.47,0.25,0.01,0.0,BRNL.KL
$BHIB,BOUSTEAD HEAVY,/mkt/themarket/stock/BHIB,5.0,0.355,88.2,,,10.39,1.26,0.06,0.0,BHIB.KL
$BOUS,BOUSTEAD HOLDG,/mkt/themarket/stock/BOUS,7.0,0.64,1297.27,HOLD,ana_yellow,2.56,0.33,0.08,0.0,BOUS.KL
$BOPL,BOUSTEAD PLN-ORD,/mkt/themarket/stock/BOPL,8.0,0.78,1747.2,BUY,ana_green,2.52,0.64,0.11,20.39,BOPL.KL
$BPAK,BOX-PAK BHD,/mkt/themarket/stock/BPAK,6.0,1.06,127.25,,,0.0,1.02,-1.07,0.0,BPAK.KL
$BPPL,BP PLASTICS HLDG,/mkt/themarket/stock/BPPL,10.0,1.37,385.7,OUTPERFORM,ana_lgreen,9.3,1.68,0.17,4.59,BPPL.KL
$BPAC,BRIGHT PAC IND.,/mkt/themarket/stock/BPAC,5.0,0.185,37.99,,,23.87,0.32,-0.01,0.0,BPAC.KL
$BECH,BRITE-TECH BHD,/mkt/themarket/stock/BECH,3.0,0.265,66.78,,,7.38,0.87,0.03,3.02,BECH.KL
$BATO,BRITISH AME TOBA,/mkt/themarket/stock/BATO,5.0,10.22,2918.12,HOLD,ana_yellow,10.65,7.67,1.0,9.24,BATO.KL
$BSLC,BSL CORPORATION,/mkt/themarket/stock/BSLC,5.0,0.08,22.29,,,1.72,0.17,0.05,0.0,BSLC.KL
$BTMR,BTM RESOURCES,/mkt/themarket/stock/BTMR,3.0,0.105,17.96,,,0.0,0.91,-0.04,0.0,BTMR.KL
$BUAB,BUMI ARMADA,/mkt/themarket/stock/BUAB,9.0,0.425,2515.17,OUTPERFORM,ana_lgreen,3.63,0.59,0.1,0.0,BUAB.KL
$BMYS,BURSA MALAYSIA,/mkt/themarket/stock/BMYS,5.0,6.4,5179.51,HOLD,ana_yellow,19.05,6.35,0.44,4.99,BMYS.KL
$BVLA,BV LAND HOLDINGS,/mkt/themarket/stock/BVLA,0.0,0.3,40.68,,,0.0,1.88,0.0,0.0,BVLA.KL
$CIHB,C.I. HOLDINGS,/mkt/themarket/stock/CIHB,10.0,3.05,494.1,OUTPERFORM,ana_lgreen,7.31,1.48,0.41,4.0,CIHB.KL
$CABC,CAB CAKARAN CORP,/mkt/themarket/stock/CABC,9.0,0.505,354.46,,,8.66,0.8,-0.03,0.0,CABC.KL
$CABN,CABNET HLD BHD,/mkt/themarket/stock/CABN,5.0,0.235,42.01,,,27.1,0.94,0.01,0.0,CABN.KL
$CAEY,CAELY HOLDINGS,/mkt/themarket/stock/CAEY,3.0,0.285,73.6,,,0.0,0.9,-0.03,0.0,CAEY.KL
$CMSM,CAHYA MATA S'WAK,/mkt/themarket/stock/CMSM,8.0,0.91,977.68,BUY,ana_green,5.13,0.32,0.19,2.2,CMSM.KL
$CRSM,CAM RESOURCES,/mkt/themarket/stock/CRSM,9.0,0.285,56.09,,,4.58,0.45,0.05,0.0,CRSM.KL
$CNON,CAN-ONE BHD,/mkt/themarket/stock/CNON,9.0,3.72,714.81,OUTPERFORM,ana_lgreen,0.0,0.42,-0.28,1.05,CNON.KL
$CAPI,CAPITAL A,/mkt/themarket/stock/CAPI,6.0,0.615,2559.5,HOLD,ana_yellow,0.0,0.0,-0.79,0.0,CAPI.KL
$CAMA,CAPITALAND M TRT,/mkt/themarket/reit/CAMA,6.0,0.545,1174.59,HOLD,ana_yellow,0.0,0.49,-0.01,5.38,CAMA.KL
$CARE,CAREPLUS GROUP,/mkt/themarket/stock/CARE,4.0,0.27,154.72,BUY,ana_green,0.0,0.32,0.39,0.0,CARE.KL
$CARM,CARIMIN PETR-O,/mkt/themarket/stock/CARM,6.0,0.595,139.16,,,19.48,0.78,0.03,1.77,CARM.KL
$CBMS,CARLSBERG BREW,/mkt/themarket/stock/CBMS,8.0,23.02,7038.32,OUTPERFORM,ana_lgreen,25.19,33.16,0.66,3.93,CBMS.KL
$CARZ,CARZO HOLDINGS,/mkt/themarket/stock/CARZ,0.0,0.6,52.96,,,0.0,5.66,0.0,0.0,CARZ.KL
$CATH,CATCHA DIGITAL,/mkt/themarket/stock/CATH,3.0,0.23,30.97,,,0.0,21.3,-0.01,0.0,CATH.KL
$CBIP,CB INDUSTRIAL,/mkt/themarket/stock/CBIP,9.0,1.33,656.02,HOLD,ana_yellow,7.24,0.79,0.18,3.1,CBIP.KL
$CCIN,CC INTERNATIONAL,/mkt/themarket/stock/CCIN,0.0,0.45,173.81,,,0.0,4.54,0.01,0.0,CCIN.KL
$CCKH,CCK CONSOLIDATED,/mkt/themarket/stock/CCKH,10.0,0.625,394.2,BUY,ana_green,10.58,1.21,0.04,2.07,CCKH.KL
$CETE,CE TECHNOLOGY,/mkt/themarket/stock/CETE,0.0,1.15,398.03,,,0.0,4.6,0.11,0.17,CETE.KL
$CEKD,CEKD BERHAD,/mkt/themarket/stock/CEKD,5.0,0.6,116.74,,,24.19,2.84,0.03,3.39,CEKD.KL
$CENG,CENGILD MEDICAL,/mkt/themarket/stock/CENG,2.0,0.51,417.59,,,42.34,4.36,0.01,0.75,CENG.KL
$CNSH,CENSOF HLD,/mkt/themarket/stock/CNSH,6.0,0.24,132.55,,,7.8,1.32,0.03,3.13,CNSH.KL
$CENT,CENTRAL GLOBAL,/mkt/themarket/stock/CENT,4.0,0.95,118.89,,,380.0,2.3,-0.04,0.0,CENT.KL
$CPWA,CEPATWAWASAN,/mkt/themarket/stock/CPWA,9.0,0.675,214.95,,,3.18,0.58,0.16,1.46,CPWA.KL
$CETH,CHEETAH HOLDINGS,/mkt/themarket/stock/CETH,3.0,0.11,53.49,,,0.0,0.37,-0.01,0.0,CETH.KL
$CHIN,CHIN HIN GROUP,/mkt/themarket/stock/CHIN,3.0,0.91,417.8,HOLD,ana_yellow,128.41,2.12,0.03,0.0,CHIN.KL
$CHIU,CHIN HIN GROUP,/mkt/themarket/stock/CHIU,3.0,2.51,4443.11,HOLD,ana_yellow,56.69,8.47,0.02,0.4,CHIU.KL
$CTPB,CHIN TECK PLANT,/mkt/themarket/stock/CTPB,9.0,8.42,769.28,HOLD,ana_yellow,7.55,1.04,0.75,1.93,CTPB.KL
$CWHB,CHIN WELL HLDGS,/mkt/themarket/stock/CWHB,9.0,1.73,518.19,HOLD,ana_yellow,5.2,0.78,0.34,7.7,CWHB.KL
$CAPH,CHINA AUTO,/mkt/themarket/stock/CAPH,0.0,0.01,13.62,,,0.0,0.03,-0.0,0.0,CAPH.KL
$COWH,CHINA OUHUA WINE,/mkt/themarket/stock/COWH,5.0,0.065,43.42,,,0.0,0.36,-0.0,0.0,COWH.KL
$CHOO,CHOO BEE METAL,/mkt/themarket/stock/CHOO,9.0,1.17,231.12,HOLD,ana_yellow,2.75,0.37,0.53,2.87,CHOO.KL
$CHRB,CHUAN HUAT RES.,/mkt/themarket/stock/CHRB,6.0,0.44,74.22,,,10.24,0.24,0.04,4.13,CHRB.KL
$CIMB,CIMB GRP BHD,/mkt/themarket/stock/CIMB,9.0,5.46,57189.45,OUTPERFORM,ana_lgreen,16.27,0.97,0.43,4.2,CIMB.KL
$CITA,CITAGLOBAL,/mkt/themarket/stock/CITA,6.0,0.19,201.7,,,20.0,1.19,0.0,0.0,CITA.KL
$CITR,CITRA NUSA HOLD,/mkt/themarket/stock/CITR,3.0,0.06,43.2,,,138.3,0.66,0.0,0.0,CITR.KL
$CJCE,CJ Century Logis,/mkt/themarket/stock/CJCE,7.0,0.5,297.12,OUTPERFORM,ana_lgreen,8.61,0.7,0.01,0.0,CJCE.KL
$CSCB,CLASSIC SCENIC,/mkt/themarket/stock/CSCB,7.0,1.05,253.07,,,23.09,1.78,0.03,1.47,CSCB.KL
$CLOU,CLOUDARON GROUP,/mkt/themarket/stock/CLOU,0.0,0.06,49.87,,,120.0,0.65,0.0,0.0,CLOU.KL
$CMEG,CME GROUP,/mkt/themarket/stock/CMEG,1.0,0.035,34.78,,,34.65,0.6,0.0,0.0,CMEG.KL
$CNAC,CN ASIA CORP,/mkt/themarket/stock/CNAC,1.0,0.27,50.47,,,0.0,0.84,-0.1,0.0,CNAC.KL
$CNER,CNERGENZ,/mkt/themarket/stock/CNER,5.0,0.91,453.18,,,0.0,5.92,0.03,0.0,CNER.KL
$CTAL,COASTAL CONTRACT,/mkt/themarket/stock/CTAL,9.0,1.91,1030.2,OUTPERFORM,ana_lgreen,5.43,0.73,0.34,0.0,CTAL.KL
$CCLD,COCOALAND HLDGS,/mkt/themarket/stock/CCLD,8.0,1.48,677.25,HOLD,ana_yellow,24.85,2.78,0.05,4.73,CCLD.KL
$COMF,COMFORT GLOVES,/mkt/themarket/stock/COMF,7.0,0.47,273.99,SELL,ana_dred,1.4,0.29,0.73,14.52,COMF.KL
$CMNL,COMINTEL CORP,/mkt/themarket/stock/CMNL,0.0,0.09,12.6,,,0.0,6.81,-0.06,0.0,CMNL.KL
$CPGT,COMPUGATES HLDGS,/mkt/themarket/stock/CPGT,2.0,0.01,45.84,,,0.0,0.41,-0.0,0.0,CPGT.KL
$CFMS,COMPUTER FORMS,/mkt/themarket/stock/CFMS,5.0,1.14,233.7,,,2.6,3.73,0.29,0.0,CFMS.KL
$CONC,CONCRETE ENGINE,/mkt/themarket/stock/CONC,0.0,0.92,68.66,,,0.0,1.12,-0.23,0.0,CONC.KL
$CORA,CORAZA INTEGRAT,/mkt/themarket/stock/CORA,4.0,0.745,319.11,OUTPERFORM,ana_lgreen,22.18,7.27,0.03,0.0,CORA.KL
$CHHB,COUNTRY HEIGHTS,/mkt/themarket/stock/CHHB,3.0,0.4,120.0,,,35.59,0.15,0.01,0.0,CHHB.KL
$CVIE,COUNTRY VIEW,/mkt/themarket/stock/CVIE,0.0,0.97,100.0,,,35.89,0.24,0.07,6.0,CVIE.KL
$CREC,CRESCENDO CORP,/mkt/themarket/stock/CREC,0.0,1.06,297.29,HOLD,ana_yellow,10.79,0.32,0.08,3.77,CREC.KL
$CREH,CREST BUILDER HL,/mkt/themarket/stock/CREH,1.0,0.5,88.46,OUTPERFORM,ana_lgreen,0.0,0.24,-0.28,0.0,CREH.KL
$CRGI,CRG INCORP,/mkt/themarket/stock/CRGI,7.0,0.21,169.19,,,33.12,2.35,0.0,5.95,CRGI.KL
$CSTH,CSC STEEL HLDGS,/mkt/themarket/stock/CSTH,8.0,1.24,471.2,UNDERPERFORM,ana_red,5.73,0.51,0.23,11.57,CSTH.KL
$CSHA,CSH ALLIANCE BHD,/mkt/themarket/stock/CSHA,1.0,0.04,55.26,,,0.0,0.18,-0.04,0.0,CSHA.KL
$CTOS,CTOS DIGITAL,/mkt/themarket/stock/CTOS,7.0,1.45,3349.5,OUTPERFORM,ana_lgreen,55.11,10.8,0.02,1.09,CTOS.KL
